student_id,major,academic_ability,workload_tolerance,strategy,current_semester,gpa,total_courses_completed,total_credits,latent_strength_math,latent_strength_physics,latent_strength_chem_bio,latent_strength_computing,latent_strength_circuits,latent_strength_signals,latent_strength_systems_control,latent_strength_communication,latent_strength_lab_project,latent_strength_humanities_business
1,CSE,0.6908259617301572,0.5321080980053777,gpa_protective,7,2.79,35,99.0,0.448,0.814,0.616,0.528,0.617,0.794,0.549,0.385,0.415,0.601
2,CCE,0.5559240527524449,0.4834387648161695,balanced,5,3.01,26,70.0,0.072,0.773,0.544,0.76,0.536,0.614,0.614,0.613,0.55,0.806
3,ECE,0.766558299425126,0.20514054357801845,gpa_protective,3,3.119,15,43.0,0.98,0.608,0.736,0.815,0.98,0.693,0.526,0.924,0.893,0.621
4,ECE,0.5354958220886308,0.558720816937775,balanced,7,2.76,33,93.0,0.807,0.74,0.582,0.421,0.658,0.955,0.411,0.768,0.38,0.661
5,CSE,0.5912862636484039,0.5256225267272124,balanced,8,2.835,23,69.0,0.258,0.98,0.683,0.534,0.744,0.648,0.98,0.713,0.468,0.553
6,ECE,0.6624833841016952,0.21123248498316385,gpa_protective,3,2.602,16,46.0,0.054,0.98,0.419,0.585,0.453,0.416,0.498,0.652,0.514,0.653
7,CSE,0.2730642081751326,0.5953888992450551,balanced,6,1.86,30,86.0,0.309,0.179,0.409,0.201,0.162,0.463,0.435,0.403,0.374,0.14
8,CSE,0.5599469961695226,0.3575095312778964,gpa_protective,7,2.669,36,102.0,0.542,0.597,0.328,0.596,0.445,0.399,0.596,0.796,0.697,0.534
9,ECE,0.5118108232204676,0.30672710399969655,gpa_protective,4,3.065,20,54.0,0.655,0.807,0.416,0.513,0.245,0.618,0.694,0.327,0.489,0.531
10,CCE,0.9036083313389499,0.24488421099603658,balanced,4,3.65,16,48.0,0.746,0.889,0.695,0.98,0.785,0.922,0.821,0.838,0.894,0.98
11,CCE,0.7969819727708504,0.5639837752370639,major_progress,5,3.415,27,73.0,0.835,0.644,0.54,0.98,0.665,0.98,0.694,0.852,0.98,0.938
12,CCE,0.6400656545029263,0.2427829368650013,gpa_protective,4,2.682,20,56.0,0.454,0.629,0.446,0.786,0.186,0.521,0.579,0.968,0.548,0.774
13,CCE,0.3354392530856036,0.4285145315451316,major_progress,7,2.223,27,77.0,0.425,0.373,0.459,0.284,0.542,0.204,0.269,0.205,0.699,0.365
14,CCE,0.6383188939426235,0.5810736725431244,balanced,6,3.062,20,58.0,0.843,0.618,0.647,0.693,0.419,0.611,0.613,0.42,0.476,0.374
15,CSE,0.6955525797812157,0.29168166098603115,gpa_protective,3,3.098,16,46.0,0.833,0.364,0.641,0.88,0.47,0.51,0.631,0.976,0.845,0.899
16,CSE,0.5551439792468918,0.12710360554099454,balanced,7,2.731,17,49.0,0.326,0.589,0.54,0.584,0.619,0.657,0.253,0.573,0.579,0.497
17,ECE,0.49556476096600666,0.8086007512805012,major_progress,2,2.538,12,34.0,0.56,0.395,0.664,0.344,0.765,0.529,0.98,0.516,0.608,0.403
18,CSE,0.8267460435640778,0.45331605485091253,major_progress,6,3.724,28,80.0,0.764,0.561,0.895,0.872,0.87,0.873,0.98,0.98,0.82,0.936
19,ECE,0.8262341465843023,0.3498130163556419,major_progress,3,3.603,14,40.0,0.76,0.98,0.934,0.647,0.739,0.98,0.742,0.755,0.98,0.724
20,CCE,0.7194626712247334,0.2918515507812501,gpa_protective,3,3.763,15,41.0,0.876,0.755,0.717,0.688,0.98,0.924,0.641,0.878,0.829,0.98
21,ECE,0.5003311958929416,0.47916070503414077,balanced,4,2.279,20,56.0,0.236,0.527,0.53,0.429,0.853,0.429,0.429,0.616,0.388,0.692
22,CSE,0.2627058464473339,0.5097721497918718,gpa_protective,3,1.67,16,44.0,0.172,0.475,0.294,0.328,0.248,0.166,0.471,0.551,0.256,0.05
23,ECE,0.3537005673834414,0.48543468340097584,major_progress,5,2.616,20,58.0,0.521,0.433,0.445,0.578,0.657,0.809,0.604,0.287,0.417,0.497
24,CCE,0.3446586897061759,0.4110356418876979,balanced,6,2.016,24,68.0,0.483,0.338,0.317,0.437,0.25,0.38,0.581,0.275,0.245,0.408
25,CCE,0.31292805653421957,0.6319586087817104,balanced,7,2.034,36,102.0,0.553,0.307,0.429,0.05,0.325,0.575,0.326,0.771,0.46,0.368
26,ECE,0.5792863277334875,0.6180802022936042,balanced,7,2.713,23,63.0,0.119,0.824,0.477,0.368,0.29,0.98,0.98,0.341,0.736,0.527
27,CSE,0.8214339552646526,0.20849870066237272,gpa_protective,8,3.461,36,100.0,0.723,0.98,0.841,0.581,0.841,0.98,0.613,0.828,0.709,0.715
28,ECE,0.329405779137935,0.6848995327312885,balanced,4,2.2,20,54.0,0.189,0.491,0.32,0.419,0.588,0.151,0.222,0.617,0.103,0.312
29,CCE,0.6409524526927936,0.5191485820127872,gpa_protective,4,2.893,20,56.0,0.959,0.52,0.727,0.793,0.419,0.468,0.815,0.683,0.637,0.772
30,CSE,0.5416399494073533,0.42241120305140517,balanced,6,2.559,26,76.0,0.618,0.691,0.323,0.472,0.354,0.66,0.286,0.663,0.449,0.127
31,CSE,0.8855434649165087,0.576922961617683,balanced,2,3.835,10,26.0,0.641,0.827,0.915,0.98,0.73,0.98,0.774,0.718,0.971,0.98
32,CCE,0.700845592670455,0.6199123072049783,balanced,3,3.472,17,47.0,0.707,0.386,0.98,0.797,0.98,0.839,0.75,0.691,0.839,0.608
33,CCE,0.7475504374012223,0.47587114626943217,balanced,3,3.352,18,48.0,0.666,0.714,0.611,0.761,0.631,0.917,0.811,0.79,0.819,0.939
