student_id,course_code,grade,grade_points
1,MED303,C+,2.3
1,ENGR202,B-,2.7
1,ART103,C,2.0
1,HIST201,F,0.0
1,ECE402,D,1.0
1,ECON303,D+,1.3
1,ENGR301,C-,1.7
1,BUS401,B-,2.7
1,CS307,C+,2.3
1,MATH105,D+,1.3
1,MUS202,D+,1.3
1,BUS202,B+,3.3
1,STAT202,D+,1.3
1,ECE305,D,1.0
1,MED103,D+,1.3
1,MATH104,D,1.0
2,MATH103,C,2.0
2,LAW102,B-,2.7
2,MATH207,F,0.0
2,ENGL101,C+,2.3
2,PHIL301,C+,2.3
2,PHYS204,D+,1.3
2,MATH203,F,0.0
2,LAW402,C+,2.3
2,LAW201,C,2.0
2,PHYS205,C,2.0
2,PHYS203,F,0.0
2,HIST101,C-,1.7
2,MUS401,C-,1.7
2,BIO202,C,2.0
2,ENGL302,D,1.0
2,PHYS401,D+,1.3
2,SOC303,C-,1.7
2,ECE301,D+,1.3
2,ART304,D+,1.3
2,ENGL401,C+,2.3
2,MED301,C-,1.7
2,LAW401,C-,1.7
2,CS104,B-,2.7
2,ART104,C+,2.3
2,ART204,C-,1.7
2,ENGR401,C+,2.3
2,POL302,C,2.0
3,SOC301,F,0.0
3,LAW101,D,1.0
3,POL202,D,1.0
3,LAW402,F,0.0
3,STAT201,D+,1.3
3,PHYS402,F,0.0
3,PHYS401,D,1.0
3,LAW301,D+,1.3
3,CHEM102,F,0.0
3,STAT303,D,1.0
3,PHYS304,C-,1.7
3,BIO202,C+,2.3
3,PHYS101,C-,1.7
3,LAW102,C-,1.7
3,ENGR301,F,0.0
3,BIO102,B+,3.3
3,STAT401,C,2.0
3,CHEM201,F,0.0
3,CS401,F,0.0
3,CS203,D+,1.3
3,CS102,D+,1.3
3,ENGR103,D+,1.3
3,CS303,D+,1.3
3,MED301,F,0.0
3,PHYS104,F,0.0
3,SOC304,C-,1.7
3,LAW303,F,0.0
3,CHEM103,C,2.0
3,SOC101,D,1.0
4,ENGR204,F,0.0
4,MED201,C+,2.3
4,CS306,D,1.0
4,MUS401,C-,1.7
4,MATH103,D+,1.3
4,SOC402,D,1.0
4,ENGL301,C-,1.7
4,CHEM103,C-,1.7
4,MATH203,F,0.0
4,SOC304,C-,1.7
4,SOC401,C-,1.7
4,CS205,C,2.0
4,ENGR301,F,0.0
4,CS201,C-,1.7
4,CS203,C+,2.3
4,CS301,C-,1.7
4,MED302,C-,1.7
4,PSYC302,C+,2.3
4,BIO102,C+,2.3
4,BUS101,F,0.0
4,BUS102,F,0.0
4,LAW101,C,2.0
4,CS302,C+,2.3
4,STAT302,D,1.0
4,ECE301,D+,1.3
4,MATH104,C-,1.7
4,CS401,F,0.0
4,POL201,C+,2.3
5,PHYS403,F,0.0
5,ECE102,F,0.0
5,POL203,D,1.0
5,LAW304,F,0.0
5,ENGR303,F,0.0
5,MATH101,F,0.0
5,CS203,D,1.0
5,MATH304,D,1.0
5,ART302,F,0.0
5,SOC101,D,1.0
5,POL103,D,1.0
5,MUS402,F,0.0
5,ECE401,D,1.0
5,BIO202,F,0.0
5,CS103,F,0.0
5,BUS201,D,1.0
5,ECON302,D+,1.3
5,ECON401,D,1.0
5,STAT202,D,1.0
5,SOC401,F,0.0
5,ART104,F,0.0
6,CS205,C+,2.3
6,PHYS304,C,2.0
6,MUS205,C-,1.7
6,PHYS201,C-,1.7
6,ECON202,D,1.0
6,MATH105,C-,1.7
6,POL302,C-,1.7
6,BIO103,C-,1.7
6,PHYS101,C+,2.3
6,BUS301,C,2.0
6,CS403,F,0.0
6,MED301,D,1.0
6,ECE203,C,2.0
6,PSYC101,C+,2.3
6,SOC203,C+,2.3
6,MATH307,D,1.0
7,BIO101,B,3.0
7,ART201,C,2.0
7,STAT303,C+,2.3
7,BIO302,C-,1.7
7,MATH205,A-,3.7
7,SOC303,B-,2.7
7,BIO102,B+,3.3
7,ART202,C-,1.7
7,ENGL202,B-,2.7
7,PHYS202,C+,2.3
7,PHYS301,C-,1.7
7,PHYS402,C,2.0
7,CS304,B,3.0
7,MED402,D+,1.3
7,PHIL401,B,3.0
7,PHYS401,C+,2.3
7,PSYC102,C+,2.3
7,ECE403,B-,2.7
7,LAW204,C+,2.3
8,PSYC102,C,2.0
8,STAT303,D+,1.3
8,PHYS205,F,0.0
8,MATH403,F,0.0
8,POL401,C-,1.7
8,MATH207,C,2.0
8,BUS101,C-,1.7
8,PHYS305,F,0.0
8,LAW304,F,0.0
8,MATH307,F,0.0
8,HIST301,D,1.0
8,CHEM202,D,1.0
8,BIO301,D,1.0
8,ART401,F,0.0
8,CS302,D+,1.3
8,PHYS202,D,1.0
8,MED402,D,1.0
8,ENGL401,F,0.0
8,BUS301,D,1.0
8,ENGR203,F,0.0
8,ENGR301,D,1.0
8,MUS201,D,1.0
8,ART103,D+,1.3
8,LAW301,D,1.0
8,CHEM101,C-,1.7
8,PHYS301,D,1.0
8,CS207,F,0.0
8,ENGL102,F,0.0
8,MATH301,D,1.0
8,ECE401,D,1.0
8,ECON203,C-,1.7
8,PHIL302,F,0.0
8,MATH204,D,1.0
8,ENGR302,F,0.0
9,ECON101,D,1.0
9,CS301,C-,1.7
9,MATH106,C+,2.3
9,ART204,C+,2.3
9,ENGR203,D+,1.3
9,PSYC102,F,0.0
9,ENGR101,D,1.0
9,CS201,C,2.0
9,ECE301,C,2.0
9,MUS102,D,1.0
9,POL203,D,1.0
9,CHEM101,C+,2.3
9,ECON203,C-,1.7
9,PHYS403,D,1.0
9,CS203,C-,1.7
9,MED303,C-,1.7
9,BUS202,C-,1.7
9,PHIL102,C+,2.3
9,MATH103,C-,1.7
9,ART101,C,2.0
9,PHYS103,C-,1.7
9,SOC101,D,1.0
9,PHYS401,D,1.0
10,CS206,C+,2.3
10,CHEM102,C+,2.3
10,CS201,C,2.0
10,ECE401,D+,1.3
10,BUS101,C,2.0
10,ENGL301,B-,2.7
10,MATH306,D,1.0
10,MATH207,B-,2.7
10,MUS204,C,2.0
10,MUS101,C-,1.7
10,ECE402,D,1.0
10,STAT301,F,0.0
10,ECE305,B-,2.7
10,ART103,C+,2.3
10,CS302,D,1.0
10,PHIL301,D+,1.3
10,MUS102,C,2.0
10,MED201,C+,2.3
10,MED402,D,1.0
10,LAW301,D,1.0
10,ART401,C-,1.7
10,CS405,C+,2.3
10,CS103,C-,1.7
10,MUS104,D,1.0
10,PHYS402,C,2.0
11,ART302,C,2.0
11,CS407,A-,3.7
11,SOC401,C,2.0
11,POL103,B,3.0
11,CS102,B-,2.7
11,POL204,B,3.0
11,MUS205,B+,3.3
11,PHYS303,B,3.0
11,SOC301,B-,2.7
11,PSYC201,B-,2.7
11,POL301,B,3.0
11,LAW203,B+,3.3
11,ART401,B,3.0
11,LAW101,B,3.0
11,MATH304,C+,2.3
11,PHIL302,C+,2.3
11,ART202,A-,3.7
11,CS207,B,3.0
11,MATH401,B-,2.7
11,CS206,B+,3.3
11,ECE401,A-,3.7
11,ENGR401,B,3.0
11,MUS104,C,2.0
11,ENGR101,A-,3.7
11,LAW302,B+,3.3
11,ENGL302,B+,3.3
11,PHYS304,B,3.0
11,ECE104,B+,3.3
11,MATH203,B,3.0
11,CHEM102,B-,2.7
11,ART303,B,3.0
12,BUS302,C-,1.7
12,STAT203,B-,2.7
12,CS101,F,0.0
12,CS105,D+,1.3
12,SOC204,D,1.0
12,CS102,C,2.0
12,SOC402,F,0.0
12,MATH101,D,1.0
12,CHEM103,F,0.0
12,CS401,C-,1.7
12,PHYS201,D+,1.3
12,HIST301,C-,1.7
12,ECE101,B-,2.7
12,CHEM202,F,0.0
12,ENGR401,C-,1.7
12,POL204,D,1.0
12,BUS301,F,0.0
12,ENGR301,D,1.0
12,MUS103,C+,2.3
12,ECON201,C-,1.7
12,MUS301,D+,1.3
12,MED102,C+,2.3
12,MATH105,C-,1.7
12,PHYS101,C,2.0
12,ENGL100,D,1.0
12,MATH103,C,2.0
12,LAW201,F,0.0
13,PSYC101,C,2.0
13,MATH307,C-,1.7
13,POL402,D,1.0
13,ENGL101,B+,3.3
13,LAW302,D+,1.3
13,ENGL100,C+,2.3
13,PHYS204,C+,2.3
13,BUS202,C+,2.3
13,MATH303,B,3.0
13,ENGR103,B-,2.7
13,PHIL301,C-,1.7
13,POL204,C,2.0
13,ENGR302,C-,1.7
13,ECE401,C,2.0
13,MUS104,C+,2.3
13,MATH402,C+,2.3
13,PHYS302,C-,1.7
13,POL202,B+,3.3
13,HIST302,D+,1.3
13,ENGR401,C-,1.7
13,PHIL201,C-,1.7
13,CS301,B-,2.7
13,ECE204,C,2.0
13,MATH206,C-,1.7
13,ENGL302,F,0.0
13,LAW204,C-,1.7
13,MED303,C+,2.3
13,CS206,D+,1.3
13,ECE303,B+,3.3
13,ECE205,C,2.0
13,MED102,B+,3.3
13,STAT203,C-,1.7
13,PSYC301,C+,2.3
14,ART102,A-,3.7
14,CS103,B+,3.3
14,ENGL201,B+,3.3
14,MATH302,C,2.0
14,MUS101,B-,2.7
14,LAW401,B,3.0
14,ECE204,B-,2.7
14,SOC303,B+,3.3
14,LAW403,C-,1.7
14,HIST401,B-,2.7
14,MED204,B-,2.7
14,SOC102,B,3.0
14,ENGR301,C+,2.3
14,ECE304,B+,3.3
14,CHEM103,C+,2.3
14,LAW103,B+,3.3
14,POL402,C-,1.7
14,POL101,B-,2.7
14,SOC402,B,3.0
14,PHIL102,B-,2.7
14,PHYS202,C-,1.7
14,MED202,C,2.0
14,CS301,B-,2.7
14,PHYS204,D,1.0
14,MED201,B+,3.3
14,CS402,B+,3.3
14,SOC201,B+,3.3
15,MUS301,D,1.0
15,MATH401,D,1.0
15,MATH304,F,0.0
15,ENGR301,D,1.0
15,CS201,F,0.0
15,MATH202,D,1.0
15,MATH206,F,0.0
15,ART205,F,0.0
15,PHYS202,F,0.0
15,ECON302,F,0.0
15,CS103,D,1.0
15,ENGL101,D,1.0
15,ENGR203,F,0.0
15,ENGL201,F,0.0
15,CS303,D,1.0
15,ECE102,D,1.0
15,HIST202,D,1.0
15,BIO103,D,1.0
15,HIST401,F,0.0
15,CS206,D,1.0
15,CS402,F,0.0
15,ART201,D,1.0
15,SOC304,F,0.0
15,CS207,D,1.0
15,ECE201,F,0.0
15,ECE304,D,1.0
15,ART304,F,0.0
15,ART401,F,0.0
15,BIO401,F,0.0
16,CS103,A-,3.7
16,ECON302,B,3.0
16,PHYS301,C+,2.3
16,ECE202,A-,3.7
16,POL103,A,4.0
16,BIO301,B,3.0
16,ECE102,B+,3.3
16,SOC203,A-,3.7
16,LAW102,B+,3.3
16,MUS301,B-,2.7
16,LAW303,B-,2.7
16,CHEM301,B,3.0
16,ECON202,A-,3.7
16,MUS303,B,3.0
16,LAW103,A-,3.7
16,CS306,B+,3.3
16,BIO203,B-,2.7
16,BUS401,A-,3.7
16,CS403,B,3.0
16,MATH401,C,2.0
16,PHIL102,B-,2.7
16,MATH302,A-,3.7
16,ART104,A-,3.7
17,SOC204,C,2.0
17,ECE402,C+,2.3
17,CS103,A-,3.7
17,HIST202,B,3.0
17,ART103,B,3.0
17,MATH306,B-,2.7
17,BIO303,B+,3.3
17,LAW402,B,3.0
17,PSYC101,A-,3.7
17,ART402,B-,2.7
17,MATH401,B+,3.3
17,PSYC202,C,2.0
17,MED103,B-,2.7
17,PHYS305,B-,2.7
17,LAW202,B-,2.7
18,PSYC302,D,1.0
18,MATH207,D,1.0
18,CHEM302,D+,1.3
18,STAT202,D,1.0
18,PHYS204,D+,1.3
18,MED402,D,1.0
18,PSYC203,D,1.0
18,STAT101,D,1.0
18,CS404,C-,1.7
18,CS406,C+,2.3
18,SOC202,C+,2.3
18,ART104,C+,2.3
18,PSYC202,C-,1.7
18,PHIL401,D,1.0
18,ART103,C+,2.3
18,CHEM101,C-,1.7
18,PHYS302,D,1.0
18,BIO301,F,0.0
18,CHEM401,D,1.0
18,ECE102,D,1.0
18,MATH403,D,1.0
18,ECON303,C-,1.7
18,CS306,C-,1.7
19,SOC401,F,0.0
19,PHYS401,D+,1.3
19,ECE202,D+,1.3
19,ENGR202,C-,1.7
19,ART302,C-,1.7
19,CS102,C,2.0
19,MATH304,C-,1.7
19,PHYS303,C-,1.7
19,MED203,D,1.0
19,MATH203,C-,1.7
19,STAT301,F,0.0
19,MATH105,D,1.0
19,MED402,C-,1.7
19,MATH401,F,0.0
19,POL102,D,1.0
19,CS104,C,2.0
19,CS402,D,1.0
19,STAT202,C+,2.3
19,POL303,C-,1.7
19,PHYS305,D,1.0
19,POL201,C-,1.7
19,MUS401,C-,1.7
20,MED303,D+,1.3
20,PHIL202,F,0.0
20,MATH301,D,1.0
20,ART101,D,1.0
20,BIO204,D,1.0
20,SOC203,F,0.0
20,SOC304,D,1.0
20,CS105,D,1.0
20,MUS101,F,0.0
20,POL301,D,1.0
20,LAW301,F,0.0
20,MUS401,D,1.0
20,ENGL201,F,0.0
20,POL304,F,0.0
20,ART302,D,1.0
20,HIST102,C-,1.7
20,SOC204,D,1.0
20,MATH101,F,0.0
20,CHEM401,F,0.0
20,ECON102,F,0.0
20,ENGR204,D,1.0
20,POL402,F,0.0
20,BIO302,D,1.0
20,CS403,F,0.0
20,BUS301,D,1.0
20,MATH205,F,0.0
20,STAT101,F,0.0
21,BUS302,C,2.0
21,ENGL201,B-,2.7
21,ART402,D+,1.3
21,CS307,C-,1.7
21,ECE204,C,2.0
21,MED301,D+,1.3
21,CHEM401,D+,1.3
21,STAT201,B-,2.7
21,HIST302,C-,1.7
21,ECE102,C-,1.7
21,MATH207,C-,1.7
21,MED202,B-,2.7
21,STAT203,C-,1.7
21,ECE301,D+,1.3
21,ENGL401,C+,2.3
21,SOC302,B-,2.7
21,POL202,C+,2.3
21,ART101,C,2.0
21,MED303,C-,1.7
21,ECE305,C+,2.3
21,SOC401,C-,1.7
22,PHYS303,C,2.0
22,CHEM302,C,2.0
22,CS304,C+,2.3
22,ECE301,B+,3.3
22,LAW201,B-,2.7
22,CS101,B+,3.3
22,PHIL301,C+,2.3
22,ENGR204,C+,2.3
22,CS105,C,2.0
22,CS305,F,0.0
22,ART203,B,3.0
22,ECE102,C+,2.3
22,ENGR303,C,2.0
22,ART401,B+,3.3
22,ECE205,C+,2.3
23,ART202,B,3.0
23,STAT202,C+,2.3
23,HIST301,A,4.0
23,MED401,C-,1.7
23,PHYS403,B-,2.7
23,ECE205,C,2.0
23,ECON201,C+,2.3
23,PHYS303,D,1.0
23,ENGL202,B+,3.3
23,HIST202,A,4.0
23,MATH105,B+,3.3
23,ECE101,B+,3.3
23,PHYS101,B+,3.3
23,PHYS201,A-,3.7
23,MUS201,A,4.0
23,SOC401,B-,2.7
23,BUS102,A,4.0
23,SOC102,B-,2.7
23,STAT301,C,2.0
23,BIO302,C,2.0
23,MATH307,F,0.0
23,ART104,A-,3.7
23,PHIL302,B-,2.7
23,MATH104,C+,2.3
23,MATH206,B-,2.7
23,BIO101,C+,2.3
23,PHIL202,B-,2.7
23,HIST401,B+,3.3
